season,season_label,team_name,shot_type,shot_made,basic_zone,loc_x,loc_y,shot_distance
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-11.4,21.15,19
2013,2013-14,New York Knicks,2PT,Missed,Restricted Area,-3.2,4.95,3
2013,2013-14,Chicago Bulls,2PT,Missed,Restricted Area,-1.2,5.95,1
2013,2013-14,Philadelphia 76ers,2PT,Made,Restricted Area,-0.7,5.95,0
2013,2013-14,Washington Wizards,2PT,Missed,Paint (non-RA),3,18.45,13
2013,2013-14,Atlanta Hawks,2PT,Made,Restricted Area,-1.3,5.35,1
2013,2013-14,Philadelphia 76ers,2PT,Made,Restricted Area,1.9,7.75,3
2013,2013-14,Utah Jazz,2PT,Missed,Midrange,-11.8,25.75,23
2013,2013-14,Philadelphia 76ers,2PT,Missed,Midrange,12.7,17.15,17
2013,2013-14,Golden State Warriors,2PT,Missed,Restricted Area,0.2,5.35,0
2013,2013-14,Sacramento Kings,2PT,Made,Midrange,1.8,26.05,20
2013,2013-14,Milwaukee Bucks,2PT,Missed,Restricted Area,-1,6.15,1
2013,2013-14,Detroit Pistons,2PT,Made,Paint (non-RA),-5.8,6.45,5
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Restricted Area,-0,4.25,1
2013,2013-14,Charlotte Bobcats,2PT,Missed,Restricted Area,0.3,5.65,0
2013,2013-14,Dallas Mavericks,2PT,Made,Midrange,0.7,22.85,17
2013,2013-14,Washington Wizards,2PT,Missed,Midrange,1.5,20.15,14
2013,2013-14,Houston Rockets,2PT,Made,Restricted Area,1.9,5.05,1
2013,2013-14,New York Knicks,2PT,Missed,Paint (non-RA),-3.9,9.45,5
2013,2013-14,San Antonio Spurs,2PT,Made,Restricted Area,-1.5,5.25,1
2013,2013-14,Brooklyn Nets,2PT,Made,Midrange,-11.2,12.85,13
2013,2013-14,Golden State Warriors,2PT,Made,Restricted Area,-2,5.55,2
2013,2013-14,New Orleans Hornets,2PT,Made,Restricted Area,1.1,7.15,2
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,-1.7,6.75,2
2013,2013-14,Milwaukee Bucks,2PT,Made,Paint (non-RA),7.5,17.35,14
2013,2013-14,Portland Trail Blazers,2PT,Made,Restricted Area,0.7,4.25,1
2013,2013-14,Atlanta Hawks,2PT,Missed,Restricted Area,-0.7,5.05,0
2013,2013-14,Charlotte Bobcats,2PT,Missed,Midrange,-11,8.95,11
2013,2013-14,Boston Celtics,2PT,Missed,Paint (non-RA),2.1,11.95,7
2013,2013-14,Memphis Grizzlies,2PT,Made,Restricted Area,0.4,5.65,0
2013,2013-14,Boston Celtics,2PT,Made,Restricted Area,-2.1,4.45,2
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-8.8,10.75,10
2013,2013-14,Charlotte Bobcats,2PT,Missed,Restricted Area,1.6,5.95,1
2013,2013-14,Miami Heat,2PT,Missed,Midrange,-11.1,21.15,19
2013,2013-14,Minnesota Timberwolves,2PT,Made,Restricted Area,1.5,6.65,2
2013,2013-14,Toronto Raptors,2PT,Missed,Midrange,12.3,6.65,12
2013,2013-14,Orlando Magic,2PT,Missed,Midrange,-8.1,13.25,11
2013,2013-14,Los Angeles Lakers,2PT,Missed,Restricted Area,-2.9,6.35,3
2013,2013-14,Orlando Magic,2PT,Missed,Midrange,9,9.45,9
2013,2013-14,Golden State Warriors,2PT,Missed,Paint (non-RA),-3.9,9.15,5
2013,2013-14,Oklahoma City Thunder,2PT,Made,Midrange,5.9,20.15,16
2013,2013-14,Washington Wizards,2PT,Made,Midrange,-13,9.75,13
2013,2013-14,Portland Trail Blazers,2PT,Missed,Restricted Area,-0,5.55,0
2013,2013-14,Memphis Grizzlies,2PT,Made,Restricted Area,0.2,5.25,0
2013,2013-14,Memphis Grizzlies,2PT,Missed,Midrange,-15.7,12.65,17
2013,2013-14,Chicago Bulls,2PT,Missed,Paint (non-RA),4.1,8.25,5
2013,2013-14,Houston Rockets,2PT,Made,Restricted Area,1.3,7.75,2
2013,2013-14,Sacramento Kings,2PT,Made,Paint (non-RA),0.4,11.25,6
2013,2013-14,Dallas Mavericks,2PT,Made,Midrange,-13.6,21.65,21
2013,2013-14,Golden State Warriors,2PT,Missed,Paint (non-RA),-0.7,14.95,9
2013,2013-14,Phoenix Suns,2PT,Missed,Restricted Area,1.9,5.95,2
2013,2013-14,Philadelphia 76ers,2PT,Missed,Paint (non-RA),-2,11.05,6
2013,2013-14,Cleveland Cavaliers,2PT,Missed,Midrange,-20.6,13.85,22
2013,2013-14,Philadelphia 76ers,2PT,Made,Restricted Area,-1.3,6.15,1
2013,2013-14,Charlotte Bobcats,2PT,Made,Restricted Area,-1.3,5.65,1
2013,2013-14,Portland Trail Blazers,2PT,Missed,Midrange,-17.7,12.75,19
2013,2013-14,San Antonio Spurs,2PT,Missed,Midrange,-14.6,20.05,20
2013,2013-14,Brooklyn Nets,2PT,Missed,Restricted Area,0.4,5.05,0
2013,2013-14,Memphis Grizzlies,2PT,Missed,Restricted Area,-1.7,7.45,2
2013,2013-14,Minnesota Timberwolves,2PT,Made,Restricted Area,0.9,6.35,1
2013,2013-14,Brooklyn Nets,2PT,Missed,Restricted Area,-0.1,4.15,1
2013,2013-14,Golden State Warriors,2PT,Made,Restricted Area,0.8,6.65,1
